names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000169442,7.0543866,4.008622,1.7336397271052531e-12,5.778799090350844e-10
ENSG00000197766,6.509431,3.0073202,7.543610066555468e-11,1.5087220133110935e-08
ENSG00000158869,6.187607,1.6193999,6.108454168863922e-10,1.0180756948106535e-07
ENSG00000103187,5.8400364,1.5310761,5.218940014956794e-09,7.45562859279542e-07
ENSG00000148737,5.737053,2.878023,9.63382793591284e-09,1.0704253262125378e-06
ENSG00000167996,5.6898518,1.4024904,1.27149652145225e-08,1.27149652145225e-06
ENSG00000129757,5.655524,4.557029,1.5537159106083816e-08,1.2947632588403179e-06
ENSG00000161016,5.5525403,1.2327598,2.815479834729813e-08,2.1657537190229334e-06
ENSG00000112149,5.4667206,2.71523,4.584383454783669e-08,3.274559610559763e-06
ENSG00000130522,5.4452653,1.5155209,5.1728187479090234e-08,3.448545831939349e-06
ENSG00000204482,5.3336997,1.961656,9.623161143945895e-08,5.660683025850526e-06
ENSG00000105835,5.282208,1.6496816,1.276362746039702e-07,6.38181373019851e-06
ENSG00000080824,5.282208,2.2676835,1.276362746039702e-07,6.38181373019851e-06
ENSG00000172216,5.252171,1.6095402,1.503168707005951e-07,7.1579462238378615e-06
ENSG00000166927,5.179224,1.5242308,2.2281067383897952e-07,1.0127757901771796e-05
ENSG00000123689,5.050494,6.6207447,4.4066797607595525e-07,1.836116566983147e-05
ENSG00000130066,4.9990025,0.94929045,5.762764023241043e-07,2.216447701246555e-05
ENSG00000184009,4.861691,1.3312461,1.1638726687664068e-06,4.156688102737167e-05
ENSG00000081237,4.823072,1.127186,1.4136391994393108e-06,4.874617929101071e-05
ENSG00000130340,4.72867,1.8707814,2.259951056914358e-06,7.290164699723736e-05
ENSG00000198682,4.6900516,2.7390723,2.7313653283307886e-06,8.535516651033715e-05
ENSG00000102265,4.664305,1.8868648,3.0966123154833725e-06,9.383673683282947e-05
ENSG00000197405,4.5956497,1.6025416,4.314032328381094e-06,0.0001232580665251741
ENSG00000127528,4.539867,1.7930878,5.6289804890786475e-06,0.00015636056914107354
ENSG00000051523,4.449756,1.166538,8.596793452927512e-06,0.00022623140665598717
ENSG00000166710,4.3296084,0.7508911,1.493748513923106e-05,0.0003643289058349039
ENSG00000085265,4.3296084,2.0511613,1.493748513923106e-05,0.0003643289058349039
ENSG00000011600,4.2609525,1.0285468,2.0355759757149064e-05,0.0004733897617941643
ENSG00000136826,4.215897,2.044426,2.4878729815734977e-05,0.0005654256776303404
ENSG00000204472,4.1665506,1.2552836,3.092432425658465e-05,0.0006872072057018811
ENSG00000163191,4.0936036,0.97141343,4.247197971645721e-05,0.000903659142903345
ENSG00000186469,4.0185113,2.262625,5.8566952868689444e-05,0.0012061723361122085
ENSG00000196154,3.964874,1.1453373,7.343468715515045e-05,0.001468693743103009
ENSG00000123358,3.8962183,1.9242101,9.770633068208575e-05,0.0019158104055310933
ENSG00000150991,3.8640358,0.98757964,0.00011152882931392467,0.0021043175342249937
ENSG00000227507,3.83829,3.3826923,0.0001238941371719299,0.0022943358735542574
ENSG00000007312,3.7417426,3.836132,0.00018274858361209866,0.0033227015202199756
ENSG00000261371,3.655923,1.3065315,0.0002562583751532348,0.004343362290732794
ENSG00000140678,3.5872672,1.6186354,0.0003341620190148995,0.005304159031982532
ENSG00000103569,3.5271933,1.9567364,0.00041999015479436957,0.006363487193854084
ENSG00000023445,3.5207567,2.6128526,0.0004303172004797486,0.00642264478327983
ENSG00000291237,3.4928653,1.2027844,0.00047786748740652425,0.007027463050095944
