names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000011376,8.200804,5.424233,2.387846318447502e-16,7.95948772815834e-15
ENSG00000160255,5.9486384,1.7423499,2.7038215888512324e-09,7.725204539574949e-08
ENSG00000130592,5.6609693,1.2504789,1.5052029146379887e-08,3.961060301678918e-07
ENSG00000184588,4.808396,2.3303924,1.5214630904006062e-06,3.622531167620491e-05
ENSG00000128340,4.6325154,1.2059165,3.6124976504387354e-06,8.210221932815309e-05
ENSG00000102879,4.3314314,0.7101973,1.4814300839496092e-05,0.0003151978902020445
ENSG00000170776,3.8932207,1.8040388,9.892210302886448e-05,0.0020188184291604996
ENSG00000111110,3.809752,1.5771999,0.0001391063128894,0.002782126257788
ENSG00000115232,3.6398335,1.2158983,0.0002728145074378815,0.005246432835343875
ENSG00000115165,3.6130042,0.8856348,0.00030266985769473743,0.005710752031976178
ENSG00000160179,3.36856,1.6654356,0.0007556195560345596,0.013738537382446537
ENSG00000123358,3.2791293,0.63348293,0.0010412795910364958,0.018594278411365996
ENSG00000129353,3.2657146,1.4235435,0.0010918825162681111,0.01915583361873879
ENSG00000124942,3.2046034,1.3051542,0.0013524864645257316,0.023318732146995372
ENSG00000198380,3.0018938,1.7586325,0.0026830583740242125,0.044717639567070214
ENSG00000131400,2.8915958,0.6038615,0.003832908010164159,0.06182109693813159
ENSG00000147168,2.8275037,1.3878577,0.004691247913523268,0.07446425259560743
ENSG00000163131,2.796203,0.25901696,0.005170693015825142,0.08079207837226784
ENSG00000168350,2.7723546,27.015327,0.005565236370011723,0.08470870573716333
ENSG00000168298,2.7708642,1.4219562,0.00559077457865278,0.08470870573716333
ENSG00000141298,2.7574496,1.0259871,0.005825420413163349,0.08694657333079624
ENSG00000078304,2.7425444,1.3079138,0.0060965206497144075,0.08965471543697658
ENSG00000165168,2.6352274,0.47937953,0.00840809203926803,0.11842383153898635
ENSG00000135046,2.602436,0.97919154,0.009256404761298534,0.1268000652232676
ENSG00000143119,2.5249295,0.608806,0.011572151222483696,0.15429534963311595
ENSG00000136167,2.4981003,0.48446143,0.012486088529609618,0.16429063854749498
ENSG00000159713,2.465309,1.2441863,0.0136895162535943,0.17778592537135454
ENSG00000130449,2.4563658,2.5780978,0.014035018943092555,0.1799361402960584
ENSG00000095370,2.4295366,1.6538517,0.015118137628727511,0.1913688307433862
ENSG00000135454,2.4176126,0.91578645,0.015622703316769952,0.1952837914596244
ENSG00000100292,2.3207293,1.591498,0.020301466402311986,0.24459598075074682
ENSG00000277443,2.302843,0.68481255,0.021287678654064952,0.2534194930279361
ENSG00000027697,2.2983716,0.3470432,0.02154065690737457,0.2534194930279361
ENSG00000149781,2.250675,0.8153123,0.024406127571507216,0.2837921810640374
ENSG00000188906,2.2432225,1.4972806,0.024882472585713227,0.2860054320196923
ENSG00000168394,2.2342794,1.3855635,0.025464696120348365,0.28937154682214056
ENSG00000164054,2.17764,0.66811687,0.02943285823638703,0.33070627231895544
ENSG00000109861,2.1672063,0.96191776,0.030219128403107805,0.3357680933678645
ENSG00000033327,2.11951,1.2460626,0.03404740135143643,0.3700804494721351
ENSG00000110876,1.9764206,0.5477401,0.048107161799900766,0.5099526754855127
